id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SIRT5	10	7.0585e-05	0.00047895	0.408416	1	4	0.70641	0.41085	0.77428	0.999972	868	5	0.70641
CKM	10	0.00019848	0.0013	0.482673	2	6	-2.304	0.20698	0.5527	0.984312	618	3	-2.304
KDM1A	43	0.00031774	0.0031192	0.548091	3	10	2.5579	0.10317	0.4859	0.968652	398	29	2.5579
ABCC8	9	0.00038847	0.0021694	0.482673	4	4	0.17265	0.10895	0.3685	0.956	408	4	0.17265
CDK2	10	0.00040959	0.0023545	0.482673	5	6	-2.8543	0.79083	0.96166	0.999972	1138	3	-2.8543
MBD3	9	0.00041832	0.0023143	0.482673	6	6	-2.9844	0.97941	0.99709	0.999972	1220	2	-2.9844
LacZ:1627-1646_LacZ_-	1	0.00056122	0.00066409	0.408416	7	1	-11.431	0.99944	0.99951	0.999972	1228	0	-11.431
HDAC10	10	0.0012126	0.0059527	0.813261	8	5	-1.5843	0.2253	0.58116	0.99239	648	4	-1.5843
MMP14	10	0.0012634	0.0061539	0.813261	9	6	-1.5927	0.70786	0.93702	0.999972	1089	3	-1.5927
FCGR3A	10	0.0015252	0.0073452	0.813261	10	3	2.5448	0.3163	0.69038	0.999972	775	6	2.5448
DRD1	8	0.0019037	0.0083756	0.813261	11	4	0.03168	0.33521	0.67897	0.999972	798	4	0.03168
USP51	9	0.001941	0.0091162	0.813261	12	3	1.9614	0.48468	0.81859	0.999972	935	5	1.9614
PDGFRB	9	0.0020389	0.009575	0.813261	13	4	-0.1235	0.047532	0.19909	0.854484	244	4	-0.1235
SSTR2	9	0.0021193	0.0099211	0.813261	14	3	1.1627	0.34198	0.71143	0.999972	809	6	1.1627
MMP15	9	0.0023849	0.011209	0.813261	15	5	-0.9116	0.47578	0.81247	0.999972	926	3	-0.9116
CCL2	10	0.0026323	0.011974	0.813261	16	3	2.1945	0.26195	0.63406	0.999972	712	6	2.1945
FGFR4	9	0.0028366	0.01306	0.813261	17	5	-2.6556	0.55765	0.86504	0.999972	987	4	-2.6556
BRD8	6	0.0028459	0.010549	0.813261	18	3	-0.73581	0.69629	0.89778	0.999972	1084	2	-0.73581
FBL	15	0.0031977	0.017174	0.813261	19	7	-0.51783	0.7677	0.9717	0.999972	1122	7	-0.51783
JADE3	10	0.0038565	0.01719	0.813261	20	6	-0.49931	0.243	0.6071	0.997844	681	4	-0.49931
HIPK4	9	0.0038933	0.016844	0.813261	21	4	0.83324	0.33565	0.70433	0.999972	800	5	0.83324
ELANE	10	0.0039639	0.017544	0.813261	22	6	-0.71077	0.30324	0.67734	0.999972	758	3	-0.71077
CSF3R	9	0.0041441	0.017657	0.813261	23	2	2.5777	0.18726	0.50973	0.97442	586	7	2.5777
PSMB8	10	0.0045365	0.01979	0.813261	24	6	-0.6142	0.87474	0.98089	0.999972	1178	3	-0.6142
AURKA	9	0.0045534	0.019106	0.813261	25	5	-1.5054	0.76858	0.95033	0.999972	1124	4	-1.5054
PRLR	9	0.004925	0.020458	0.813261	26	4	-0.46326	0.63468	0.90417	0.999972	1043	3	-0.46326
PSMB5	7	0.005067	0.018856	0.813261	27	4	-2.8035	0.98057	0.99458	0.999972	1221	2	-2.8035
TBL1Y	8	0.0054265	0.021038	0.813261	28	5	-0.96516	0.79655	0.95232	0.999972	1140	2	-0.96516
SMYD3	9	0.0057946	0.023139	0.813261	29	2	4.864	0.010656	0.060706	0.671809	91	6	4.864
TUBD1	8	0.0059982	0.023171	0.813261	30	4	-1.3296	0.97187	0.99471	0.999972	1217	2	-1.3296
MEPCE	29	0.0061152	0.037885	0.813261	31	9	-0.053311	0.58962	0.94539	0.999972	1014	12	-0.053311
PDCD1LG2	15	0.0061734	0.029602	0.813261	32	4	2.3076	0.19044	0.57371	0.991689	590	9	2.3076
CDK4	9	0.0062481	0.024684	0.813261	33	5	-1.0949	0.99998	0.99997	0.999972	1230	0	-1.0949
GABRP	9	0.0063538	0.02503	0.813261	34	5	-1.3037	0.15886	0.46368	0.966486	535	3	-1.3037
EDF1	10	0.0064567	0.026592	0.813261	35	2	1.8854	0.48736	0.83277	0.999972	939	7	1.8854
CHRNA7	10	0.0065163	0.026753	0.813261	36	5	0.057473	0.78637	0.96075	0.999972	1135	5	0.057473
ADORA1	9	0.0068019	0.026527	0.813261	37	4	0.55162	0.24776	0.59668	0.997844	687	4	0.55162
TRIM16	10	0.0072723	0.029039	0.813261	38	4	0.92437	0.13253	0.4232	0.956	469	6	0.92437
NCOA1	9	0.0074717	0.028822	0.813261	39	4	2.3829	0.040214	0.17534	0.854484	218	5	2.3829
MTTP	10	0.0076589	0.030383	0.813261	40	4	1.2791	0.051194	0.22027	0.860113	256	5	1.2791
TADA2B	10	0.0078821	0.031124	0.813261	41	5	-1.4107	0.92012	0.98909	0.999972	1199	3	-1.4107
PDE8A	9	0.0080091	0.030721	0.813261	42	4	-0.81337	0.4441	0.78993	0.999972	896	3	-0.81337
TET3	9	0.0081297	0.03118	0.813261	43	4	-0.093509	0.14375	0.438	0.956905	504	4	-0.093509
DPEP1	10	0.0081722	0.031937	0.813261	44	3	1.8368	0.47518	0.82377	0.999972	925	6	1.8368
EPHA2	10	0.0084917	0.033152	0.813261	45	4	1.3764	0.27506	0.64908	0.999972	732	6	1.3764
ITGB1	9	0.0086436	0.032806	0.813261	46	5	-1.8333	0.72748	0.93681	0.999972	1100	4	-1.8333
MR1	10	0.0086732	0.033716	0.813261	47	4	0.026709	0.23522	0.59573	0.997844	663	4	0.026709
FLT4	9	0.0087475	0.033064	0.813261	48	2	2.5736	0.27059	0.62649	0.999972	723	7	2.5736
IRF7	10	0.0096342	0.036638	0.813261	49	4	-0.63832	0.54096	0.86567	0.999972	979	4	-0.63832
BRMS1L	10	0.009885	0.037394	0.813261	50	3	2.1669	0.3545	0.72559	0.999972	818	7	2.1669
HCFC1	8	0.0099718	0.035503	0.813261	51	3	-0.95413	0.33439	0.67801	0.999972	794	3	-0.95413
KDM6B	10	0.010326	0.038723	0.813261	52	5	-1.4784	0.54096	0.86567	0.999972	978	4	-1.4784
SLC6A3	9	0.010529	0.039294	0.813261	53	3	1.8824	0.57547	0.87561	0.999972	1002	5	1.8824
GLP1R	9	0.010725	0.039874	0.813261	54	4	1.5049	0.089864	0.31939	0.91863	374	5	1.5049
TRPV3	10	0.01074	0.040147	0.813261	55	1	3.8005	0.098423	0.3531	0.950961	390	7	3.8005
PKN1	9	0.010898	0.040332	0.813261	56	4	-0.46326	0.9038	0.98411	0.999972	1194	2	-0.46326
MMP2	8	0.011192	0.038932	0.813261	57	3	1.1341	0.67733	0.91193	0.999972	1068	4	1.1341
PDE5A	10	0.011595	0.042619	0.816183	58	3	3.0214	0.21388	0.56338	0.984312	629	7	3.0214
LacZ:2131-2150_LacZ_+	1	0.011613	0.011499	0.813261	59	1	-10.008	0.98839	0.98857	0.999972	1223	0	-10.008
SLAMF7	9	0.011733	0.043085	0.816183	60	4	0.44378	0.010442	0.059595	0.671809	88	4	0.44378
RARB	9	0.01198	0.043987	0.816183	61	2	1.5049	0.08697	0.31147	0.91863	365	6	1.5049
CACNA1H	7	0.012025	0.038674	0.813261	62	4	-0.41364	0.95849	0.99035	0.999972	1210	2	-0.41364
GABRB3	9	0.012209	0.044647	0.816183	63	4	0.16915	0.82036	0.96654	0.999972	1155	4	0.16915
USP7	9	0.012271	0.04484	0.816183	64	5	-0.51783	0.70307	0.92823	0.999972	1086	4	-0.51783
CPT1A	9	0.012749	0.046362	0.816183	65	2	0.025989	0.21696	0.55361	0.984312	632	4	0.025989
GNRHR	10	0.012768	0.046176	0.816183	66	3	-0.38327	0.85348	0.9762	0.999972	1170	3	-0.38327
MMP24	9	0.013062	0.047448	0.816183	67	4	4.3904	0.08964	0.31872	0.91863	371	5	4.3904
WDR74	9	0.013467	0.048688	0.816183	68	4	-1.0949	0.97898	0.99699	0.999972	1219	3	-1.0949
TRMT61A	35	0.013509	0.078045	0.879655	69	5	2.0221	0.071436	0.38156	0.956	319	21	2.0221
